"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"J., Jambor, Ján","Jambor, Ján (57219661928)","57219661928","Melitta Breznik’s prose between factual and fictional narration; Melitta Brezniks Prosawerk zwischen faktualem und fiktionalem Erzählen","2023","World Literature Studies","15","4","","14","32","0","1","10.31577/WLS.2023.15.4.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185506556&doi=10.31577%2FWLS.2023.15.4.2&partnerID=40&md5=d2e7453529f7f6ac21b8a1f63b1b8cae","This article deals with five longer prose works of the German-language author of Austrian origin, Melitta Breznik (b. 1961). It aims to situate the texts in the context of specifically selected current theoretical concepts on autobiographical and autofictional writing and to point out their specific features through a differentiated approach. The study will illustrate some possibilities of narrative self-design, based on this contemporary author, psychiatrist and psychotherapist. © 2024 Elsevier B.V., All rights reserved.","Autobiographical Writing; Autofictional Writing; Contemporary German-language Literature; Factual And Fictional Narration; Melitta Breznik","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85185506556"
"M., Tironi, Martín; T., Vivanco, Tomas; K., Mollenhauer, Katherine","Tironi, Martín (57211978997); Vivanco, Tomas (57219121611); Mollenhauer, Katherine (55163657900)","57211978997; 57219121611; 55163657900","Towards a Distributed Design in Crisis Scenarios: Frictions and Futures of Digital Manufacturing Collectives in Chile; Hacia un diseño distribuido en escenarios de crisis. Fricciones y futuros de los colectivos de la fabricación digital en Chile","2023","Revista 180","","52","","89","101","0","1","10.32995/rev180.Num-52.(2023).art-1098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185284703&doi=10.32995%2Frev180.Num-52.%282023%29.art-1098&partnerID=40&md5=4d424f5539fd261cb79f0721a26dbed1","The escalating destabilizations of recent years, such as the climate crisis, social, food and energy crises, wars, among many others, have raised the question of where to direct the discipline of design in uncertain scenarios like the ones we currently live in. In this article, the lessons and frictions that the global COVID-19 pandemic left for designer collectives in Chile are analyzed. Faced with the challenges of traditional industries to respond to the high number of infections and deaths caused by the virus, designer collectives, spread throughout the territory, became key actors in the context of the health crisis. Through a qualitative study of the experiences and associations of maker collectives and Fab labs in Chile, this work analyses the frictions experienced by these collectives during the viral crisis. It examines the efforts to gain legitimacy against expert systems, creating a paradox between the opportunities that opened up for maker collectives and the risks of bureaucratization and weakening of their hacker ethos in the need to certify their solutions with traditional institutions. Based on the analysis of this experience, the article concludes by emphasizing some operations aimed at promoting distributed design for crisis management, expanding the resilience and self-design capabilities of the territories. © 2024 Elsevier B.V., All rights reserved.","Chile; Distributed Design; Maker Collectives; Pandemic Crisis","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185284703"
"M.A., Odintsova, Maria A.; D.V., Lubovsky, Dmitry Vladimirovich; E.I., Kuzmina, Elena I.","Odintsova, Maria A. (55364810300); Lubovsky, Dmitry Vladimirovich (57209772376); Kuzmina, Elena I. (58436623200)","55364810300; 57209772376; 58436623200","Psychological Resources of the Individual when Living Life Situations of Varying Degrees of Uncertainty; Психологические ресурсы личности при переживании жизненных ситуаций разной степени неопределенности","2023","Social Psychology and Society","14","4","","156","177","0","5","10.17759/sps.2023140410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181929544&doi=10.17759%2Fsps.2023140410&partnerID=40&md5=24915d3c436e55856887b4311c4acd9e","Objective. The study of the psychological resources’ specifics of persons experiencing life challenges with varying degrees of uncertainty. Context and relevance. Uncertainty is a fundamental characteristic of the modern world. Any life situation has a certain degree of uncertainty and contributes to the activation of psychological resources of the individual, on which the success of coping depends. Research Design. The paper analyzes the types of life challenges, identifies groups of people who differently assess the degree of life challenges’ uncertainty and studies the specifics of the severity of psychological resources (emotional, motivational, instrumental, sustainability resources) depending on the degree of life challenges’ uncertainty. Participants. The study involved 1248 people aged 18 to 76 years (31,09 ± 12,59), including 297 (23,8%) men, 175 (14,0%) persons with disabilities. Methods. A socio-biographic questionnaire with an open question about an actual difficult life situation (TS), which needed to be evaluated on a 10-point Likert scale: 1) the level of its complexity; 2) the intensity of the emotions accompanying it. “Subjective assessment of a difficult life situation” (E.V. Bityutskaya, A.A. Korneev); Resilience test (E.N. Osin, E.I. Rasskazova); Self-activation technique (M.A. Odintsova, N.P. Radchikova); COPE technique (E.I. Rasskazova, T.O. Gordeeva, E.N. Osin). Results. Seven types of challenges are experienced as life situations with varying degrees of uncertainty. Respondents more often attribute the global challenge as a very complex and complex situations of uncertainty; the challenge of loss — as a complex situations. The challenge of illness, the challenge of relationships, the challenge of material difficulties in about forty percent of cases are assessed as very difficult situations of uncertainty and about a third — as complex or simple. The challenge to self-design and the challenge of professional activity are more often assessed either as very complex situations of uncertainty, or as simple. Very complex and complex situations of uncertainty are assessed as less controllable, complex ones as the most intractable. Conclusions. Psychological resources in situations of varying degrees of uncertainty are emotional experiences, resilience, self-activation and various coping styles. The lower the degree of uncertainty of the life situation, the more pronounced are the resources of resilience and self-activation. © 2024 Elsevier B.V., All rights reserved.","Challenge; Coping Strategies; Degree Of Uncertainty; Difficult Life Situations; Emotional Experiences; Psychological Resources; Resilience; Self-activation","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181929544"
"W., Hong, Wonkee; T.D., Pham, Tien Dat","Hong, Wonkee (35279757900); Pham, Tien Dat (57224761725)","35279757900; 57224761725","Auto-Design-Based Optimizations of Prestressed Frames Using an Artificial Neural Network (ANN)-Based Hong-Lagrange Algorithm","2023","","","","","151","158","0","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179846297&partnerID=40&md5=6d342cb3a326f1f14c1ee393df8bcfd3","Structural designs using artificial neural networks (ANNs) are relatively new even though the ANN has been an evolutionary technology in many areas, such as automotive, financial, and medical areas. The ANN-based Hong-Lagrange algorithm shows prospects for real-world applications, providing an auto design and optimizations that substantially increase design effectiveness while considerably reducing human efforts. Holistic designs of prestressed multistory frames are performed in this study. Big datasets following American standards were generated based on the ABBA (auto-design-based building applications) frame generator, which was developed and verified by commercial software (ADAPT builder and MIDAS). ANNs are trained on big datasets, mapping 38 input parameters to 111 output parameters, to derive weight and bias matrices for the formulation of ANN-based objective and constraint functions of piperack frames. Costs, CO<inf>2</inf> emissions, weights, and energy consumption are minimized by applying sequential quadratic programming (SQP) to ANN-based Lagrange functions constrained by equalities and inequalities, which are imposed by architectural and code requirements. The present study provides an application based on ANN technologies for structural designs, which not only enhances the design efficiencies but also the sustainability of building construction by reducing CO<inf>2</inf> emissions and energy consumption. © 2023 Elsevier B.V., All rights reserved.","Application Programs; Big Data; Carbon Dioxide; Energy Utilization; Lagrange Multipliers; Quadratic Programming; Structural Design; Automotives; Co 2 Emission; Design And Optimization; Energy-consumption; Lagrange Algorithm; Medical Areas; Network-based; Optimisations; Pre-stressed; Real-world; Neural Networks","Conference paper","Final","","Scopus","2-s2.0-85179846297"
"S., Chai-Arayalert, Supaporn; K., Suttapong, Ketsaraporn; S., Chumkaew, Surin","Chai-Arayalert, Supaporn (54392866000); Suttapong, Ketsaraporn (55971236600); Chumkaew, Surin (58749531200)","54392866000; 55971236600; 58749531200","Design of digital environments to enhance handicraft co-learning experiences","2023","Cogent Business and Management","10","3","2286687","","","0","4","10.1080/23311975.2023.2286687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178964803&doi=10.1080%2F23311975.2023.2286687&partnerID=40&md5=3a18f3f42a98af5c393e1680e87a1460","This research aimed to develop a digital platform that efficiently utilizes co-learning experiences between consumers and producers and to foster the preservation of local handicrafts in a manner that is both sustainable and economically feasible. This platform combines the co-design method with Kolb’s experiential learning model, with a specific emphasis on improving the self-design process of local handicrafts. The research and development (R&D) methodology involves a systematic approach to addressing stakeholder needs through feedback and iteration, ensuring the final system is tailored to their specific objectives. The evaluation of the platform indicates that participants were highly satisfied with its performance. The platform facilitates extensive opportunities for collaborative participation and the exchange of knowledge, allowing participants to gain a comprehensive understanding of the processes involved in handicraft design. This research contributes to combining a virtual environment with a co-design process and Kolb’s experiential learning model. The research contributes to the possibility of expansion of local crafts and the preservation of traditional workmanship, which can be achieved through collaboration between local artisans and global consumers. Encouraging consumer involvement in collaborating with the handicraft community has the potential to provide new product designs for markets, thereby boosting economies. © 2023 Elsevier B.V., All rights reserved.","Co-learning Approach; Digital Platform; Experiential Learning; Handicraft; Self-design Approach","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85178964803"
"S., Rossi, Simone; P.L., Farias, Priscila Lena","Rossi, Simone (58640279400); Farias, Priscila Lena (26037126600)","58640279400; 26037126600","QUEER SCRAPSCAPE: HUDINILSON JR.’S CADERNOS DE REFERÊNCIAS; QUEER SCRAPSCAPE: OS CADERNOS DE REFERÊNCIAS DE HUDINILSON JR.; QUEER SCRAPSCAPE: LOS CADERNOS DE REFERÊNCIAS DE HUDINILSON JR.","2023","Ars (Sao Paulo)","21","47","","33","79","0","0","10.11606/issn.2178-0447.ars2023.207177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173742728&doi=10.11606%2Fissn.2178-0447.ars2023.207177&partnerID=40&md5=572e0721d87cfd18d6eb431ca9d04849","Este ensayo echa luz sobre los Cadernos de referências (c. 1981-2013) del artista brasileño Hudinilson Jr., una serie de álbumes de recortes densos y llenos de capas. A través de un análisis de layouts y medios, la investigación resalta las extensas implicaciones culturales y de design desencadenadas por la obra. El enfoque recae principalmente en las recurrencias formales y estrategias narrativas identificadas en páginas dobles, revelando cómo condensan la poética queer del artista. Los Cadernos surgen como una práctica diaria de exploración del cuerpo humano, un espacio de auto-design y resistencia cultural, y una herramienta de cuestionamiento de la relación entre el cuerpo expuesto, la autoimagen y los medios de comunicación de masas. © 2023 Elsevier B.V., All rights reserved.","Efímeros; Hudinilson Jr; Narciso; Scrapbooking; Self-design","Article","Final","","Scopus","2-s2.0-85173742728"
"R., Pithavadian, Rashmi; J., Chalmers, Jane; T.M., Dune, Tinashe Moira","Pithavadian, Rashmi (57218880436); Chalmers, Jane (57150546600); Dune, Tinashe Moira (26429428300)","57218880436; 57150546600; 26429428300","The experiences of women seeking help for vaginismus and its impact on their sense of self: An integrative review","2023","Women's Health","19","","","","","0","7","10.1177/17455057231199383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173124455&doi=10.1177%2F17455057231199383&partnerID=40&md5=41354f0f470cf21ff1b46ec41e069308","Background: There is low social awareness of vaginismus despite it being a relatively common female sexual dysfunction that makes vaginal penetration painful, difficult, and/or impossible. While existing literature on vaginismus has had a clinical focus on the affected genitalia, there is a lack of research on women’s help-seeking experiences of vaginismus from their perspective. Objectives: This integrative review’s objective was to explore: women’s help-seeking experiences of vaginismus, and how such help-seeking experiences impact their sense of self. Design: Cooper’s five-step integrative review approach was followed to develop a research question, a search strategy, selection criteria, and data evaluation, analysis, and presentation. Data Sources and Methods: A systematic search of the literature was completed in the following seven databases in January 2023: PsycINFO, ProQuest Central, PubMed, Scopus, CINAHL, Cochrane, and Embase. Out of the 373 articles found through database searches and additional citation searching, 22 studies were included in this review for meeting the eligibility criteria of having an empirical design, being written in English, and examining women’s help-seeking experiences for vaginismus and its impact on their sense of self. Results: Thematic analysis was used to summarize the findings from the included studies which were informed by 1671 participants. Help-Seeking Process, Medical Management, Help-Seeking and Sense of Self, and Holistic Care Recommendations from the Findings emerged as four major themes with corresponding subthemes. Conclusion: This review indicates that women continue to face difficulties in seeking and receiving help for vaginismus even through the healthcare system. However, the studies did not explicitly discuss how women’s help-seeking for vaginismus impacted their sense of self. This highlights an epistemological gap on how women’s help-seeking for their vaginismus impacts their sense of self, which can affect their treatment responses. Recommendations are provided for future healthcare and research to improve health outcomes for women with vaginismus. © 2023 Elsevier B.V., All rights reserved.","Female Sexual Dysfunction; Genito-pelvic Pain/penetration Disorder; Help-seeking; Painful Sex; Sense Of Self; Treatment-seeking; Vaginismus; Awareness; Data Analysis; Experience; Female; Genital System; Help Seeking Behavior; Holistic Care; Human; Motivation; Outcome Assessment; Prevalence; Quality Control; Review; Sense Of Self; Sexual Dysfunction; Systematic Review; Thematic Analysis; Treatment Response; Vaginism; Health Care Delivery; Delivery Of Health Care; Female; Humans; Vaginismus","Review","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85173124455"
"S., Bolzenius, Stefan; N., Franke, Nikolaus; P.A., Keinz, Peter A.","Bolzenius, Stefan (57217616639); Franke, Nikolaus (7003712009); Keinz, Peter A. (24776045600)","57217616639; 7003712009; 24776045600","How to Consider Cognitive Abilities of Users in Toolkit Design","2023","Lecture Notes in Mechanical Engineering","","","","120","129","0","0","10.1007/978-3-031-34821-1_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172344056&doi=10.1007%2F978-3-031-34821-1_14&partnerID=40&md5=ecc906d60aced65f3e91b03aedd69ed2","Mass customization is an alternative approach in which companies abandon costly market research tools and instead involve their customers into the product development process. Although self-designing a product via toolkits requires additional effort for customers, they are willing to pay a price premium. However, users indicate that they would pay an even higher price premium for a product designed in an ideal toolkit, which indicates that toolkits currently do not support their users in the best possible way. The user and the toolkit constitute a joint cognitive system to perform the task of “self-designing a product”, therefore the configuration of an ideal toolkit is based on the user's mental capabilities. The task is conceptualized as a self-design process subdivided into three episodes: (i) exploration, (ii) generation, and (iii) evaluation. The task of self-designing a product is a mental activity that is executed in the brain of the designer, where information regarding the design is processed. Based on the information processing theory we developed a model that indicates areas, where the cognitive skills of users are limited. These action points show where the toolkit can (even better) support the user during the self-design process. Based on this, we want to formulate design principles for a toolkit that supports the user as best as possible during the self-design process. © 2023 Elsevier B.V., All rights reserved.","Cognitive Ergonomics; Self-design Process; Toolkits For Mass Customization; Brain; Cognitive Systems; Ergonomics; Market Research; Cognitive Ability; Cognitive Ergonomics; Design-process; Market Researches; Mass Customization; Price Premiums; Research Tools; Self-design; Self-design Process; Toolkit For Mass Customization; Product Design","Conference paper","Final","","Scopus","2-s2.0-85172344056"
"S.J., Raj, Sony Jalarajan; A.K., Suresh, Adith K.","Raj, Sony Jalarajan (56074160100); Suresh, Adith K. (58035312500)","56074160100; 58035312500","Bollywood self-fashioning: Indian popular culture and representations of girlhood in 1970s Indian cinema","2023","Film Fashion and Consumption","12","1","","67","82","0","2","10.1386/ffc_00053_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167727577&doi=10.1386%2Fffc_00053_1&partnerID=40&md5=0bde4b895c2906de1091afa6ae89160e","This article investigates how Bollywood cinema represented girlhood experiences in India in the early 1970s. It argues that the films during this time focused on representing girls who displayed a variety of new fashion styles and attitudes, some of which were borrowed from western cultures. This was a sign that there was a new way of representing girls which broke with the submissive, dull and melancholic sari-wearing Indian female stereotype entrapped within domestic settings. The immediate result of this was the emergence of new style leaders and popular icons in Indian popular cinema. This study uses Stephen Greenblatt’s concept of self-fashioning and Guy Mankowski’s idea of self-design to examine how Indian girlhood was renegotiated in the 1970s as an individual-centric idea with more agency and power. Here, self-fashioning refers to the way girls adopt new elements of fashion, styles and attitudes to distinguish their identity from earlier archetypal modes of representation in film and culture. It specifically analyses the emergence of Jaya Bhaduri in Guddi (1971) and Dimple Kapadia in Bobby (1973) as case studies to understand the transformation of girlhood representations in early 1970s Bollywood that opened a new space for girls to redefine their selfhood through the assimilation of consumerism, western culture and fashion styles. © 2023 Elsevier B.V., All rights reserved.","1970s; Bollywood Cinema; Consumerism; Fashion; Gender Roles; Girlhood; South Asia","Article","Final","","Scopus","2-s2.0-85167727577"
"T., Liu, Tiantian; F., Lin, Feng; Z., Wang, Zhangsen; C., Wang, Chao; Z., Ba, Zhongjie; L., Lu, Li; W., Xu, Wenyao; K., Ren, Kui","Liu, Tiantian (57316498800); Lin, Feng (57188551353); Wang, Zhangsen (57803027800); Wang, Chao (57217051344); Ba, Zhongjie (56028729300); Lu, Li (7403962804); Xu, Wenyao (55546406300); Ren, Kui (8396435500)","57316498800; 57188551353; 57803027800; 57217051344; 56028729300; 7403962804; 55546406300; 8396435500","MagBackdoor: Beware of Your Loudspeaker as A Backdoor for Magnetic Injection Attacks","2023","Proceedings - IEEE Symposium on Security and Privacy","2023-May","","","3416","3431","0","14","10.1109/SP46215.2023.10179364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166480988&doi=10.1109%2FSP46215.2023.10179364&partnerID=40&md5=3771e2c38276c881c1abf4ae0a717dbf","An audio system containing loudspeakers and microphones is the fundamental hardware for voice-enabled devices, enabling voice interaction with mobile applications and smart homes. This paper presents MagBackdoor, the first magnetic field attack that injects malicious commands via a loudspeaker-based backdoor of the audio system, compromising the linked voice interaction system. MagBackdoor focuses on the magnetic threat on loudspeakers and manipulates their sound production stealthily. Consequently, the microphone will inevitably pick up malicious sound generated by the attacked speaker, due to the closely packed arrangement of internal audio systems. To prove the feasibility of MagBackdoor, we conduct comprehensive simulations and experiments. This study further models the mechanism by which an external magnetic field excites the sound production of loudspeakers, giving theoretical guidance to MagBackdoor. Aiming at stealthy magnetic attacks in real-world scenarios, we self-design a prototype that can emit magnetic fields modulated by voice commands. We implement MagBackdoor and evaluate it across a wide range of smart devices involving 16 smartphones, four laptops, two tablets, and three smart speakers, achieving an average 95% injection success rate with high-quality injected acoustic signals. © 2023 Elsevier B.V., All rights reserved.","Audio Acoustics; Audio Systems; Automation; Intelligent Buildings; Magnetic Fields; Microphones; Backdoors; External Magnetic Field; Interaction Systems; Magnetic-field; Mobile Applications; Real-world Scenario; Self-design; Smart Homes; Sound Production; Voice Interaction; Loudspeakers","Conference paper","Final","","Scopus","2-s2.0-85166480988"
"S., Bachhuber, Simon; I., Weygers, Ive; T., Seel, Thomas","Bachhuber, Simon (57858825900); Weygers, Ive (57201084627); Seel, Thomas (55678745300)","57858825900; 57201084627; 55678745300","Neural ODEs for Data-Driven Automatic Self-Design of Finite-Time Output Feedback Control for Unknown Nonlinear Dynamics","2023","IEEE Control Systems Letters","7","","","3048","3053","0","3","10.1109/LCSYS.2023.3293277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164403404&doi=10.1109%2FLCSYS.2023.3293277&partnerID=40&md5=04fde3764a6812b74b5dac83902e9813","Many application fields, e.g., robotic surgery, autonomous piloting, and wearable robotics greatly benefit from advances in robotics and automation. A common task is to control an unknown nonlinear system such that its output tracks a desired reference signal for a finite duration of time. A learning control method that automatically and efficiently designs output feedback controllers for this task would greatly boost practicality over time-consuming and labour-intensive manual system identification and controller design methods. In this contribution we propose Automatic Neural Ordinary Differential Equation Control (ANODEC), a data-efficient automatic design of output feedback controllers for finite-time reference tracking in systems with unknown nonlinear dynamics. In a two-step approach, ANODEC first identifies a neural ODE model of the system dynamics from input-output data of the system dynamics and then exploits this data-driven model to learn a neural ODE feedback controller, while requiring no knowledge of the actual system state or its dimensionality. In-silico validation shows that ANODEC is able to - automatically - design competitive controllers that outperform two controller baselines, and achieves an on average ≈ 30 % / 17 % lower median RMSE. This is demonstrated in four different nonlinear systems using multiple, qualitatively different and even out-of-training-distribution reference signals. © 2023 Elsevier B.V., All rights reserved.","Autonomous Systems; Data-driven Modeling; Learning Systems; Motion Control; Neural Networks; Adaptive Control Systems; Controllers; Design; Dynamical Systems; Feedback Control; Job Analysis; Neural Networks; Nonlinear Equations; Nonlinear Feedback; Ordinary Differential Equations; Robotic Surgery; Signal Processing; System Theory; Adaptive Control; Data Driven; Finite-time; Neural-networks; Output Feedback Controller; Output Feedback Controls; Reference Signals; Self-design; System Dynamics; Task Analysis; Nonlinear Dynamical Systems","Article","Final","","Scopus","2-s2.0-85164403404"
"R.V.C., Rubi, Rugi Vicente C.; P., Allaine Dimalibot, Patricia; M., Hutamares, Michelle; S., Solatre, Shalimar; K., Ijja Cruzada, Kirstie; J.G., Olay, Jerry G.; E.C., Roque, Erison C.; E.C.R., Lopez, Edgar Clyde R.; E.R., Halabaso, Eric R.","Rubi, Rugi Vicente C. (59157918200); Allaine Dimalibot, Patricia (58222270700); Hutamares, Michelle (58222457700); Solatre, Shalimar (58223217000); Ijja Cruzada, Kirstie (58223402300); Olay, Jerry G. (57216689254); Roque, Erison C. (56507072900); Lopez, Edgar Clyde R. (57209456143); Halabaso, Eric R. (57302951800)","59157918200; 58222270700; 58222457700; 58223217000; 58223402300; 57216689254; 56507072900; 57209456143; 57302951800","Slow pyrolysis of buri palm: Investigation of pyrolysis temperature and residence time effects","2023","Materials Today: Proceedings","","","","","","0","7","10.1016/j.matpr.2023.04.454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156248511&doi=10.1016%2Fj.matpr.2023.04.454&partnerID=40&md5=80f2255f85c358e1ccd89765db59d4d2","The enormous environmental impact of the excessive use of the fossil fuels has prompted researchers to search for an environmentally friendly energy source. In this study, buri palm leaves was utilized to produce biochar and bio-oil using slow pyrolysis. The effects of temperature (T), of (300, 500 and 700 °C) and residence time (RS) of (30, 60 and 90 mins) to pyrolysis products were investigated using a self-design fixed bed reactor. Particularly, the effects of these parameters on the proximate analysis, ultimate analysis, and calculated heating value of biochar were conducted. The results showed that the highest yield in biochar of 68% (T = 300 °C, RT = 90 min) while the bio-oil yield of 46% (T = 500 °C, RS = 90 min) was obtained. It was observed that biochar products increased with residence time but decreasing with the temperature while the bio-oil recovery is as both parameters increase. In addition, fixed carbon, volatile matter, ash, carbon, hydrogen and the higher heating value of biochar were significantly affected by the residence time. The calculated lowest and highest higher heating values of biochar were 16.93 MJ/kg at 300 °C for 30 mins and 28 MJ/kg at 700 °C for 30 mins respectively. Finally, this study presented the viability of buri palm leaves as potential option for sustainable alternative energy sources. © 2023 Elsevier B.V., All rights reserved.","Bio-oil; Biochar; Biomass; Buri Palm; Fixed Bed Reactor; Slow Pyrolysis; Carbon; Fossil Fuels; Palm Oil; Product Design; Pyrolysis; Temperature; Bio-oils; Biochar; Buri Palm; Fixed Bed Reactor; Fixed-bed Reactors; Higher Heating Value; Pyrolysis Temperature; Residence Time; Residence Time Effects; Slow Pyrolysis; Environmental Impact","Article","aip","","Scopus","2-s2.0-85156248511"
"B., Zhang, Bin; F., Huang, Feifei; J., Liu, Jun; D., Zhang, Dingguo","Zhang, Bin (59280540800); Huang, Feifei (36113738000); Liu, Jun (55949680900); Zhang, Dingguo (7405361625)","59280540800; 36113738000; 55949680900; 7405361625","Bilateral transcranial direct current stimulation may be a feasible treatment of Parkinsonian tremor","2023","Frontiers in Neuroscience","17","","1101751","","","0","5","10.3389/fnins.2023.1101751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150217902&doi=10.3389%2Ffnins.2023.1101751&partnerID=40&md5=02aec20f1a9758bcf85ff8f625381d1c","Background: Parkinsonian tremor is a common pathological tremor that affects over 6 million people worldwide. It lowers patients' quality of life and threatens their career development, especially when patients' occupation requires dexterous manipulation. In spite of current available treatments in clinics, there is a lack of low-cost, low side-effect, effective solutions for Parkinsonian tremor. Transcranial direct current stimulation (tDCS) may be an alternative treatment. Objective: In this research, we explored the immediate effect of tDCS with a novel bilateral electrode setup over Parkinsonian tremor. In such a bilateral setup, the cathode was placed over the primary cortex contralateral to the more affected side of Parkinsonian tremor while the anode symmetrically over the other hemisphere. It was designed as a modification to the traditional cathodal setup. The performance of this bilateral setup was compared with three other setups including anodal setup, cathodal setup, and sham (control). Methods: A randomized, sham-controlled, double-blind, crossover experiment was carried out over 13 qualified patients diagnosed with idiopathic Parkinson's disease (PD). Before and after the stimulus of each tDCS setup, subjects were tested before and after tDCS with four measures, including the Unified Parkinson's Disease Rating Scale (UPDRS), Fahn-Tolosa-Marin Tremor Rating Scale (FTMTRS), Purdue Pegboard Test (PPT) and a self-design Continuous Tremor Signal Assessment (CTSA). Tremor intensity calculated from CTSA data were regarded as the primary outcome of the experiment. Results: Statistical results of CTSA, FTMTRS and PPT showed both bilateral tDCS and cathodal tDCS effectively suppressed Parkinsonian tremor. A quantitative comparison of the effect in tremor suppression indicated the optimal suppressive effect was obtained with bilateral tDCS. Based on the results of UPDRS, anodal tDCS was found to benefit subjects' overall performance the most, however, it had little effect in improving Parkinsonian tremor, as revealed by the results of other evaluations. Conclusion: Our study suggests a beneficial immediate effect of bilateral tDCS in Parkinsonian tremor suppression. In addition, we assume there may be an underlying interhemispheric unbalance of cortical excitability which contributes to Parkinsonian tremor genesis. Clinical trial registration: Identifier: ChiCTR2100054804. © 2023 Elsevier B.V., All rights reserved.","Electrode Setups; Parkinson's Disease; Parkinsonian Tremor; Transcranial Direct Current Stimulation; Tremor Suppression; Levodopa; Dc-stimulator; Magstim Rapid 2; Levodopa; Adult; Aged; Article; Brain Cortex; Clinical Article; Clinical Outcome; Continuous Tremor Signal Assessment; Controlled Study; Crossover Procedure; Double Blind Procedure; Experimental Study; Fahn-tolosa-marin Tremor Rating Scale; Feasibility Study; Hemisphere; Human; Intermethod Comparison; Parkinson Disease; Performance; Primary Cortex; Purdue Pegboard Test; Quantitative Analysis; Randomized Controlled Trial; Therapy Effect; Transcranial Direct Current Stimulation; Transcranial Magnetic Stimulation; Tremor; Unified Parkinson Disease Rating Scale","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85150217902"
"W., Hong, Wonkee; T.D., Pham, Tien Dat","Hong, Wonkee (35279757900); Pham, Tien Dat (57224761725)","35279757900; 57224761725","An AI-based auto-design for optimizing RC frames using the ANN-based Hong–Lagrange algorithm","2023","Journal of Asian Architecture and Building Engineering","22","5","","2876","2888","0","5","10.1080/13467581.2022.2163174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146686742&doi=10.1080%2F13467581.2022.2163174&partnerID=40&md5=51239f386986b9215e800af89dca2a2e","Artificial neural networks (ANNs)-based objective functions such as costs and weights of reinforced concrete (RC) frames with four-by-four bays and four floors are optimized simultaneously based on big datasets of 330,000 designs according to ACI 318-19, whereas corresponding design parameters, which minimize objective functions, are also obtained. The Pareto frontier verified by big datasets shows reductions up to 44.983% and 33.111% in costs and weights, respectively, compared with probable designs based on averages of 688 (0.1%) best designs among 688,000 samples. Optimized designs’ meeting requirements imposed by codes and architects are achieved using the ANN-based Hong–Lagrange algorithm in which complex analytical objective functions are replaced by ANN-based objective functions. ANN is formulated to provide 32 forward outputs based on 18 forward inputs to minimize or maximize objective functions, such as costs and weights as a function of 18 input parameters. When good training qualities are achieved, objective functions with equality and inequality constraints are implemented in the proposed method, which determines optimal design parameters for building with accuracies and robustness equivalent to derivation-based approaches, which are hard to obtain using metaheuristic methods. The proposed AI-based auto-designs perform optimization where design variables are produced automatically while optimizing design targets. © 2023 Elsevier B.V., All rights reserved.","Ann-based Hong–lagrange Algorithm Of Rc Frames; Big Datasets Of Rc Frames; Kkt Solutions Of Rc Frames; Pareto Frontier Of Rc Frames; Weight Fraction Of Moo Problems; Constraint Theory; Lagrange Multipliers; Large Dataset; Optimization; Reinforced Concrete; Artificial Neural Network-based Hong–lagrange Algorithm Of Reinforced Concrete Frame; Big Dataset Of Reinforced Concrete Frame; Kkt Solution Of Reinforced Concrete Frame; Lagrange Algorithm; Network-based; Pareto Frontier Of Reinforced Concrete Frame; Pareto Frontiers; Reinforced Concrete Frames; Weight Fraction Of Moo Problem; Weight Fractions; Neural Networks","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146686742"
